省份,城市,流域,河流,站点名称,经度,纬度,监测时间,水温,pH,溶解氧,电导率,浊度,高锰酸盐指数,氨氮,总有机碳,总磷,总氮,叶绿素α,藻密度,水质,站点
,,,,,,,,(℃),(无量纲),(mg/L),(μS/cm),(NTU),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(mg/L),(cells/L),类别,情况
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-17 20:00:00,7.3400,7.80000,10.84000,572.60000,10.04000,3.45000,0.12000,,0.04000,1.65000,0.00000,1214815,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-18 20:00:00,7.4200,7.78000,10.63000,568.45000,8.41000,3.43000,0.09000,,0.04000,1.55000,0.00000,1416083,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-19 20:00:00,7.0900,7.63000,11.28000,546.52000,8.39000,3.62000,0.07000,,0.03000,1.48000,0.00000,1814458,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-20 20:00:00,7.1200,7.66000,11.64000,510.31000,6.65000,3.58000,0.03000,,0.04000,1.39000,0.00000,1935307,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-21 20:00:00,7.3600,7.85000,11.80000,500.70000,5.84000,3.44000,0.02000,,0.03000,1.34000,0.00000,1779348,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-22 20:00:00,7.6700,8.01000,12.05000,506.75000,5.41000,3.58000,0.02000,,0.03000,1.32000,0.00000,2017220,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-23 20:00:00,7.7700,8.08000,12.01000,514.87000,5.96000,3.81000,0.02000,,0.04000,1.30000,0.00000,2596853,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-24 20:00:00,8.0900,8.23000,11.83000,514.32000,6.16000,3.77000,0.02000,,0.03000,1.24000,0.00000,2426185,Ⅲ,
江苏省,苏州市,太湖流域,阳澄湖,阳澄湖心,120.869564,31.460995,2020-12-25 20:00:00,8.5800,8.40000,12.79000,510.30000,6.49000,4.18000,0.02000,,0.03000,1.29000,0.00000,3058650,Ⅲ,
